state,city,airport,locid,ownership,hub,role,Current,year5,enplaned,based,Devestimate
GA,Thomasville,Thomasville Regional,TVI,PU,,Regional,GA,GA,5,47,"$9,857,501"
GA,Thomson,Thomson-McDuffie County,HQU,PU,,Regional,GA,GA,33,23,"$1,828,334"
GA,Tifton,Henry Tift Myers,TMA,PU,,Basic,GA,GA,0,14,"$956,667"
GA,Toccoa,Toccoa-R G LeTourneau Field,TOC,PU,,Regional,GA,GA,4,34,"$2,224,000"
GA,Valdosta,Valdosta Regional,VLD,PU,N,,P,P,"35,636",57,"$17,484,707"
GA,Vidalia,Vidalia Regional,VDI,PU,,Local,GA,GA,0,32,"$1,143,000"
GA,Warm Springs,Roosevelt Memorial,5A9,PU,,Basic,GA,GA,0,12,"$2,066,667"
GA,Washington,Washington-Wilkes County,IIY,PU,,Local,GA,GA,0,15,"$1,308,335"
GA,Waycross,Waycross-Ware County,AYS,PU,,Regional,GA,GA,0,32,"$2,808,889"
GA,Waynesboro,Burke County,BXG,PU,,Basic,GA,GA,0,12,"$2,500,000"
GA,Winder,Barrow County,WDR,PU,,Regional,GA,GA,0,105,"$2,350,001"
GA,Wrens,Wrens Memorial,65J,PU,,Unclassified,GA,GA,0,6,$0
GU,Guam,Guam International,GUM,PU,S,,P,P,"1,436,726",43,"$57,794,065"
HI,Hana,Hana,HNM,PU,,Basic,GA,GA,"1,783",0,"$22,710,526"
HI,Hanapepe,Port Allen,PAK,PU,,Unclassified,GA,GA,0,3,$0
HI,Hawi,Upolu,UPP,PU,,Unclassified,GA,GA,0,1,$0
HI,Hilo,Hilo International,ITO,PU,S,,P,P,"626,950",39,"$20,535,514"
HI,Honolulu,Honolulu International,HNL,PU,L,,P,P,"9,463,000",217,"$106,039,428"
HI,Kahului,Kahului,OGG,PU,M,,P,P,"3,019,338",67,"$76,810,936"
HI,Kailua/Kona,Kona International at Keahole,KOA,PU,S,,P,P,"1,403,559",59,"$94,714,823"
HI,Kalaupapa,Kalaupapa,LUP,PU,,Regional,CS,CS,"5,128",0,"$13,026,317"
HI,Kamuela,Waimea-Kohala,MUE,PU,,Regional,CS,CS,"5,287",6,"$11,590,643"
HI,Kapolei,Kalaeloa (John Rodgers Field),JRF,PU,,Regional,R,R,"2,100",30,"$7,947,368"
HI,Kaunakakai,Molokai,MKK,PU,N,,P,P,"79,597",4,"$7,166,863"
HI,Lahaina,Kapalua,JHM,PU,,Unclassified,GA,GA,"24,428",0,$0
HI,Lanai City,Lanai,LNY,PU,N,,P,P,"51,918",0,"$6,833,333"
HI,Lihue,Lihue,LIH,PU,S,,P,P,"1,340,014",43,"$22,886,842"
HI,Mokuleia,Dillingham Airfield,HDH,MR,,Basic,GA,GA,0,25,"$2,101,895"
IA,Albia,Albia Municipal,4C8,PU,,Unclassified,GA,GA,0,6,$0
IA,Algona,Algona Municipal,AXA,PU,,Local,GA,GA,0,28,"$4,048,000"
IA,Ames,Ames Municipal,AMW,PU,,Regional,GA,GA,237,71,"$13,261,000"
IA,Ankeny,Ankeny Regional,IKV,PU,,Regional,R,R,6,100,"$5,234,619"
